"Time (s)","Sound pressure level (dB)"
2.573530000E2,4.773689375E1
2.576460000E2,5.375353685E1
2.579030000E2,5.630041837E1
2.582540000E2,5.390583403E1
2.585030000E2,5.686416101E1
2.588120000E2,5.880170204E1
2.590630000E2,5.373023259E1
2.593590000E2,6.009405077E1
2.596120000E2,5.710673366E1
2.598560000E2,5.891240789E1
2.600990000E2,5.960890080E1
2.603510000E2,6.728594423E1
2.606060000E2,6.334340199E1
2.609270000E2,6.082175509E1
2.611830000E2,5.750083619E1
2.615060000E2,5.667484133E1
2.618070000E2,6.152760439E1
2.620430000E2,5.697586540E1
2.623440000E2,5.674189037E1
2.625730000E2,5.539036876E1
2.628210000E2,4.901745514E1
2.631270000E2,5.264848299E1
2.634230000E2,5.038277380E1
2.636750000E2,5.149234245E1
2.639170000E2,4.604207892E1
2.641630000E2,5.735184247E1
2.644630000E2,5.659523444E1
2.648080000E2,5.697978691E1
2.650640000E2,5.691301726E1
2.653540000E2,5.696584583E1
2.656480000E2,5.138210199E1
2.659030000E2,5.345758564E1
2.661640000E2,5.363588256E1
2.664240000E2,5.471656895E1
2.666720000E2,5.140760448E1
2.669400000E2,5.329005020E1
2.671940000E2,5.422388323E1
2.674460000E2,5.133919880E1
2.677140000E2,5.690801972E1
2.681270000E2,5.964609863E1
2.684030000E2,6.167901240E1
2.686970000E2,5.297205648E1
2.689350000E2,5.530010894E1
2.692310000E2,5.450325538E1
2.694700000E2,5.391690578E1
2.697660000E2,5.420666075E1
2.700010000E2,4.962510480E1
2.702390000E2,5.010058679E1
2.705460000E2,5.345147952E1
2.708590000E2,5.574757195E1
2.711770000E2,5.571208034E1
2.714720000E2,5.288998421E1
2.717170000E2,5.214438195E1
2.720190000E2,5.232798978E1
2.723080000E2,6.045263056E1
2.725500000E2,5.870512300E1
2.727930000E2,5.577911819E1
2.730760000E2,5.501493048E1
2.733800000E2,5.433475343E1
2.736720000E2,5.293457700E1
2.739070000E2,5.486483547E1
2.741780000E2,6.008208952E1
2.745050000E2,5.845984546E1
2.748040000E2,5.900764997E1
2.751070000E2,5.760203457E1
2.754240000E2,5.795024632E1
2.757280000E2,6.182748257E1
2.760340000E2,5.683205968E1
2.763350000E2,5.821402367E1
2.766080000E2,5.520672517E1
